Grad.prog.,Study Prog,Course name,Lang,Requests,Max,Class code,Semester
M.Sc.,Software Development and Technology,Intelligent Systems Programming,English,75,100,SISP,2016-Spring
M.Sc.,Software Development and Technology,Introduction to Database Design MSc,English,31,43,SIDD,2016-Spring
M.Sc.,Software Development and Technology,Introduction to Graphics and Image Analysis,English,8,45,SIGB,2016-Spring
M.Sc.,Software Development and Technology,Mathematical Analysis and Linear Algebra,English,11,25,SMAL,2016-Spring
M.Sc.,Software Development and Technology,Mobile App Development,English,66,75,MMAD,2016-Spring
M.Sc.,Software Development and Technology,Object Oriented Programming,English,5,75,OOP,2016-Spring
M.Sc.,Software Development and Technology,Pervasive Computing,English,25,40,SPCT,2016-Spring
M.Sc.,Software Development and Technology,Programming Language Concepts and Implementation,English,14,25,SPLC,2016-Spring
M.Sc.,Software Development and Technology,Programming Language Seminar,English,3,25,SPLG,2016-Spring
M.Sc.,Software Development and Technology,System Architecture and Security,English,104,115,SSAS,2016-Spring
M.Sc.,Software Development and Technology,Thesis Preparation SDT,English,28,60,TPSDT,2016-Spring
Master,Interaction Design,Development of Digital Business Models,Danish,19,40,UDDIF,2016-Spring
Master,Interaction Design,Dynamic Web Design,Danish,39,39,MDWD,2016-Spring
Master,Interaction Design,Service Design: Theory and Practice,English,23,40,MSTP,2016-Spring
Master,Interaction Design,Usability & User Experience - Methods and Communication,Danish,22,40,MUUF,2016-Spring
Master,IT Leadership and Management,Business and Management,Danish,19,95,SFOL,2016-Spring
Master,IT Leadership and Management,Change Management,Danish,21,35,MFAL,2016-Spring
Master,IT Leadership and Management,IT Management and the Role of the IT Organisation,Danish,14,45,ILIOR,2016-Spring
Master,IT Leadership and Management,IT Project and Programme Management,Danish,30,35,MPPS,2016-Spring
Master,IT Leadership and Management,IT Service Management,Danish,13,30,SISM,2016-Spring
Master,IT Leadership and Management,Methodology and Communication in IT Management,Danish,15,45,ITLMK,2016-Spring
Master,IT Leadership and Management,Understanding Business and IT Strategy (15 ECTS),Danish,34,45,ITSFO,2016-Spring
Master,IT Leadership and Management,Understanding Business and IT Strategy (7,5 ECTS),Danish,6,15,MBITSTF1KU,2016-Spring
Master,Software Engineering,Advanced Software Engineering,English,24,40,SASU,2016-Spring
Master,Software Engineering,Software Acquisition and Requirements,Danish,15,45,SANS,2016-Spring
